"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"DB1322","Pahvant Ensign CWMU","Deer","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"DB1323","Rock House CWMU","Deer","Any Legal Weapon","CWMU","Rock House","827","exact_norm_name"
"DB1325","Double Cone CWMU","Deer","Any Legal Weapon","CWMU","Double Cone","516","exact_norm_name"
"DB1326","Rosette CWMU","Deer","Any Legal Weapon","CWMU","Rosette","856","exact_norm_name"
"DB1327","Mountain Sky Ranch CWMU","Deer","Any Legal Weapon","CWMU","Mountain Sky Ranch","858","exact_norm_name"
"DB1328","Clear Creek CWMU","Deer","Any Legal Weapon","CWMU","Clear Creek","494","exact_norm_name"
"DB1331","Raft River CWMU","Deer","Any Legal Weapon","CWMU","Raft River","875","exact_norm_name"
"DB1332","West Ridge CWMU","Deer","Any Legal Weapon","CWMU","West Ridge","874","exact_norm_name"
"DB1336","First Light CWMU","Deer","Any Legal Weapon","CWMU","First Light","890","exact_norm_name"
"DB1341","Dry Creek CWMU","Deer","Any Legal Weapon","CWMU","Dry Creek","908","exact_norm_name"
"DB1342","Faust Valley CWMU","Deer","Any Legal Weapon","CWMU","Faust Valley","905","exact_norm_name"
"DB1347","The Rose of Snowville CWMU","Deer","Any Legal Weapon","CWMU","The Rose of Snowville","509","exact_norm_name"
"DB1351","The Dirty Dozen","Deer","Any Legal Weapon","CWMU","The Dirty Dozen","923","exact_norm_name"
"EA1118","Alton CWMU","Elk","Any Legal Weapon","CWMU","Alton","526","exact_norm_name"
"EA1119","Bar J Ranch CWMU","Elk","Any Legal Weapon","CWMU","Bar J Ranch","527","exact_norm_name"
"EA1120","Bear Mountain CWMU","Elk","Any Legal Weapon","CWMU","Bear Mountain","582","exact_norm_name"
"EA1121","Boobe Hole CWMU","Elk","Any Legal Weapon","CWMU","Boobe Hole","529","exact_norm_name"
